"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2020-01-01","","44.7099990844727","","","","","0.0336666665971279","0.368999987840652","","","","58","81","","","0.249625942825138","0.21","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-02","","21.6800003051758","","","","","0.0343433320522308","0.174999997019768","","","","77","95","","","0.0644196450174082","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-02","","10124.7802734375","","","","","1.50041973590851","1.87399995326996","","64","","129","156","","","0.562199985980988","53.05","8","13","21","29","9","5","5","","","","","","","","","","","","","","",""
"Travel to San Fran","Custom","","","","2020-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-04","","38.3600006103516","","","","","0.0335149988532066","0.317999988794327","","","","59","74","","","0.54338960434337","1.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-04","","3871.31005859375","","","","","1.10899472236633","0.970000028610229","","28","","91","143","","","0.308842033628668","11.75","61","3","2","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-05","","46.1399993896484","","","","","0.0335655547678471","0.381999999284744","","","","66","83","","","0.290026720006632","0.29","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-05","","4588.240234375","","","","","1.20985448360443","1.05299997329712","","36","","102","145","","","0.3165327533363","13.49","68","2","1","1","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-06","","19.2099990844727","","","","","0.0336097218096256","0.158999994397163","","","","66","91","","","0.0769686960799292","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-07","","22.2399997711182","","","","","0.033597219735384","0.184000000357628","","","","69","94","","","0.00663941772768738","1.05","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-08","","10.789999961853","","","","","0.0335455536842346","0.0890000015497208","","","","61","81","","","0.0349646260922438","1.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-08","","6394.5","","","","","1.00053858757019","1.77499997615814","","65","","130","160","","","0.532499992847443","31.43","5","9","10","20","7","4","5","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-09","","34.1599998474121","","","","","0.0336241647601128","0.282000005245209","","","","64","77","","","0.0700118292166549","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-09","","6704.0498046875","","","","","1.0006411075592","1.86099994182587","","65","","134","173","","","0.55829998254776","34.55","3","4","12","18","8","5","8","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-10","","18.4300003051758","","","","","0.0335724987089634","0.151999995112419","","2","","62","79","","","0.54338960434337","1.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-10","","2087.09008789063","","","","","0.707336962223053","0.819999992847443","","23","","98","125","","","0.278040262004207","6","41","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-10","","5000.5","","","","","0.504260003566742","2.75500011444092","","78","","140","175","","","0.826500034332275","37.5","2","3","8","3","0","1","13","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-01-10","","24472.759765625","156","271","561.949","","1.0006810426712","6.79300022125244","","65","","142","186","","","0.73395357743188","53.45","5","3","5","11","4","5","27","","","","20","9","17","12","2","0","","","","","",""
"Running","Run","","","","2020-01-11","","15.6199998855591","","","","","0.0334469452500343","0.129999995231628","","","","59","70","","","0.050243101631647","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-11","","2000.81005859375","","","","","0.619139134883881","0.898000001907349","","25","","101","134","","","0.291038060757064","5.74","35","1","1","0","0","0","0","","","","","","","","","","","","","","",""
